m_bpp,m_psnr,m_ssim,m_lpips,a_bpp,a_psnr,a_ssim,a_lpips,w_bpp,w_psnr,w_ssim,w_lpips,epoch
1.155217581796664,28.559914060309694,0.8774662137031555,0.5237932950258255,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,20
0.9949366125774098,29.35547176500185,0.8787664592266082,0.5995545089244843,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,21
0.5676450921484116,29.746060245539006,0.8939797580242157,0.5978261679410934,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,22
0.1973156133739738,30.03355822065434,0.8980181634426116,0.5839156448841095,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,23
0.17641172815727102,30.01643097251395,0.900280112028122,0.5922849476337433,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,24
0.1544250275985471,30.44061146298598,0.9048599898815155,0.5753864258527756,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,25
0.12128607665712528,30.763966493405484,0.9066372692584992,0.5689901798963547,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,26
0.11485763953311727,30.804790404460515,0.9081677556037903,0.5673866242170333,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,27
0.11433043136583007,30.082602194876028,0.9075981318950653,0.5625878781080246,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,28
0.10662735280473248,30.91322431107817,0.9086940944194793,0.5602750062942505,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,29
0.10020531071343194,30.38629202610296,0.9068134069442749,0.5695313811302185,0.48642105192229373,39.006802500756535,0.9845909714698792,0.1472265675663948,0.40893600046479,37.1118514941692,0.9767959535121917,0.18123170584440232,30
